# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584476.85831,4.97675,-0.37349,4.99664,-0.10869,0.07588
1768584476.95082,4.98810,-0.13275,4.99982,-0.00874,0.02541
1768584477.05232,4.97454,-0.09616,5.00099,0.09125,0.03553
1768584477.15346,4.96971,-0.02760,5.00017,0.19124,0.02510
1768584477.24817,4.97601,0.08879,4.99734,0.29120,0.15171
1768584477.34900,5.04478,0.14710,4.99252,0.39108,0.06351
1768584477.44977,5.05125,0.25763,4.98570,0.49085,0.10227
1768584477.55007,5.03797,0.40294,4.97689,0.59046,0.07376
1768584477.65898,4.99834,0.51989,4.96608,0.68987,0.03375
1768584477.75035,4.96275,0.62111,4.95329,0.78905,0.05077
1768584477.85336,4.92852,0.65572,4.93852,0.88795,0.05090
1768584477.94902,4.91399,0.75670,4.92178,0.98654,0.07181
1768584478.05729,4.88517,0.83989,4.90306,1.08477,0.04460
1768584478.15266,4.89540,1.02250,4.88239,1.18261,0.04804
1768584478.24808,4.89178,1.03807,4.85976,1.28001,0.03389
1768584478.35126,4.84992,1.19233,4.83519,1.37694,0.12910
1768584478.45095,4.79789,1.39331,4.80869,1.47337,0.04879
1768584478.55752,4.78726,1.38604,4.78026,1.56924,0.04108
1768584478.66413,4.77466,1.45036,4.74992,1.66452,0.07874
1768584478.74987,4.70381,1.60069,4.71768,1.75918,0.02137
1768584478.85197,4.73735,1.64725,4.68356,1.85318,0.06987
1768584478.95088,4.76991,1.80560,4.64756,1.94647,0.06608
1768584479.05491,4.61749,1.85413,4.60970,2.03903,0.00927
1768584479.15901,4.61854,2.04185,4.57000,2.13081,0.09285
1768584479.25258,4.60401,2.04441,4.52848,2.22178,0.11585
1768584479.35277,4.51312,2.10695,4.48514,2.31189,0.12468
1768584479.44914,4.54199,2.20093,4.44001,2.40113,0.04784
1768584479.55160,4.49313,2.26473,4.39310,2.48944,0.03542
1768584479.64924,4.40842,2.41717,4.34443,2.57680,0.03042
1768584479.74909,4.41655,2.47007,4.29403,2.66317,0.05287
1768584479.85348,4.33108,2.62796,4.24191,2.74851,0.12710
1768584479.95288,4.34231,2.67057,4.18810,2.83279,0.01294
1768584480.05282,4.19214,2.82050,4.13261,2.91598,0.04010
1768584480.14927,4.21912,2.85820,4.07547,2.99805,0.12601
1768584480.24816,4.05060,2.87452,4.01669,3.07895,0.08553
1768584480.34931,4.11101,2.92025,3.95632,3.15866,0.09037
1768584480.44998,3.94076,3.12794,3.89436,3.23715,0.06834
1768584480.54856,3.89573,3.19029,3.83084,3.31439,0.16167
1768584480.65107,3.86906,3.15731,3.76579,3.39034,0.08287
1768584480.74740,3.83985,3.35314,3.69923,3.46497,0.05561
1768584480.85068,3.71480,3.41159,3.63120,3.53826,0.18402
1768584480.95145,3.81398,3.51692,3.56171,3.61017,0.11869
1768584481.05662,3.73394,3.59768,3.49080,3.68068,0.13994
1768584481.14964,3.61783,3.62198,3.41849,3.74975,0.17570
1768584481.25491,3.56275,3.64946,3.34482,3.81737,0.16021
1768584481.35500,3.47287,3.72109,3.26981,3.88349,0.00748
1768584481.46264,3.34223,3.82438,3.19349,3.94811,0.13449
1768584481.58482,3.30907,3.87935,3.11590,4.01119,0.01203
1768584481.64902,3.20400,3.94225,3.03705,4.07270,0.07887
1768584481.74862,3.12422,4.08962,2.95700,4.13262,0.13936
1768584481.84793,3.17491,4.05226,2.87576,4.19093,0.17126
1768584481.95091,3.12013,4.08048,2.79337,4.24760,0.14443
1768584482.05211,2.75593,4.10811,2.70987,4.30262,0.09107
1768584482.15533,2.78277,4.24804,2.62528,4.35595,0.05235
1768584482.25347,2.71327,4.25037,2.53964,4.40758,0.10980
1768584482.34993,2.61289,4.24685,2.45299,4.45749,0.08745
1768584482.44985,2.50930,4.39059,2.36535,4.50565,0.03211
1768584482.56106,2.46374,4.42724,2.27677,4.55206,0.08236
1768584482.65005,2.29022,4.47190,2.18728,4.59668,0.05977
1768584482.75121,2.26623,4.49322,2.09692,4.63950,0.09862
1768584482.85812,2.09112,4.57480,2.00571,4.68051,0.09321
1768584482.94791,2.00396,4.63262,1.91371,4.71969,0.05475
1768584483.05443,2.05491,4.65649,1.82094,4.75701,0.09018
1768584483.15226,1.90000,4.71364,1.72744,4.79248,0.05392
1768584483.24852,1.79996,4.80669,1.63325,4.82607,0.00514
1768584483.35463,1.72496,4.78798,1.53841,4.85776,0.04115
1768584483.44973,1.56179,4.82391,1.44295,4.88756,0.03248
1768584483.55443,1.53690,4.82532,1.34692,4.91544,0.01777
1768584483.65098,1.44182,4.90529,1.25035,4.94139,0.08993
1768584483.75082,1.43638,4.90632,1.15328,4.96541,0.01501
1768584483.85449,1.16646,4.95823,1.05574,4.98748,0.12845
1768584483.94996,1.18328,5.00274,0.95779,5.00760,0.03877
1768584484.05119,1.01853,4.97662,0.85945,5.02575,0.12642
1768584484.15153,0.97292,4.97001,0.76077,5.04193,0.08179
1768584484.25053,0.77848,5.01420,0.66179,5.05614,0.05571
1768584484.34934,0.81222,5.06331,0.56254,5.06836,0.06895
1768584484.44942,0.59716,5.03210,0.46307,5.07860,0.08511
1768584484.54916,0.48148,5.09432,0.36341,5.08684,0.05660
1768584484.64961,0.46413,5.13518,0.26361,5.09309,0.00433
1768584484.75392,0.36769,5.08748,0.16370,5.09735,0.03835
1768584484.85757,0.24984,5.12889,0.06372,5.09960,0.15450
1768584484.95458,0.20545,5.16112,-0.03627,5.09985,0.03612
1768584485.04952,0.03166,5.11623,-0.13626,5.09811,0.12785
1768584485.14862,-0.01766,5.14587,-0.23618,5.09436,0.08065
1768584485.25613,-0.18649,5.16121,-0.33602,5.08862,0.05728
1768584485.34930,-0.25984,5.14653,-0.43572,5.08088,0.16711
1768584485.45374,-0.28362,5.15011,-0.53524,5.07115,0.02987
1768584485.54848,-0.42160,5.10721,-0.63455,5.05944,0.05135
1768584485.66647,-0.48554,5.08407,-0.73360,5.04573,0.16260
1768584485.75217,-0.57241,5.02436,-0.83237,5.03005,0.16701
1768584485.85296,-0.66535,5.02949,-0.93079,5.01240,0.06540
1768584485.94925,-0.82813,4.96479,-1.02885,4.99279,0.03913
1768584486.06602,-0.89261,5.00386,-1.12649,4.97121,0.09092
1768584486.14980,-1.03586,4.96406,-1.22369,4.94769,0.18057
1768584486.24903,-1.04362,4.96120,-1.32039,4.92223,0.05423
1768584486.35375,-1.16947,4.94614,-1.41656,4.89484,0.07989
1768584486.45334,-1.29390,4.84686,-1.51217,4.86553,0.03464
1768584486.55004,-1.43137,4.92615,-1.60717,4.83431,0.01987
1768584486.65066,-1.49287,4.86080,-1.70153,4.80121,0.09284
1768584486.74940,-1.60963,4.81438,-1.79521,4.76622,0.09922
1768584486.85131,-1.73165,4.70666,-1.88817,4.72936,0.14034
1768584486.94892,-1.76011,4.78678,-1.98037,4.69066,0.04710
1768584487.04853,-1.88362,4.68248,-2.07178,4.65011,0.01704
1768584487.15583,-1.99675,4.69534,-2.16236,4.60775,0.17306
1768584487.25221,-1.99011,4.59104,-2.25208,4.56358,0.02020
1768584487.35398,-2.16754,4.62727,-2.34089,4.51763,0.06598
1768584487.45266,-2.21350,4.61711,-2.42877,4.46991,0.04517
1768584487.55518,-2.35281,4.47406,-2.51568,4.42045,0.04350
1768584487.65042,-2.44456,4.42938,-2.60158,4.36925,0.07359
1768584487.75422,-2.44336,4.40681,-2.68644,4.31635,0.00802
1768584487.85011,-2.60463,4.37667,-2.77022,4.26176,0.06367
1768584487.95143,-2.74966,4.30879,-2.85290,4.20551,0.08225
1768584488.05290,-2.68800,4.25987,-2.93443,4.14762,0.03972
1768584488.14884,-2.85881,4.16623,-3.01479,4.08810,0.11922
1768584488.25097,-2.90995,4.14487,-3.09394,4.02699,0.01283
1768584488.35660,-3.02189,4.09878,-3.17186,3.96431,0.13170
1768584488.45531,-3.11518,4.08319,-3.24851,3.90009,0.07733
1768584488.55145,-3.20601,3.96469,-3.32385,3.83434,0.04342
1768584488.64862,-3.26289,3.94105,-3.39787,3.76710,0.02120
1768584488.75356,-3.34233,3.84475,-3.47053,3.69839,0.06122
1768584488.85336,-3.33709,3.75981,-3.54180,3.62825,0.09233
1768584488.95413,-3.37842,3.70468,-3.61165,3.55669,0.09571
1768584489.04898,-3.56046,3.63757,-3.68006,3.48375,0.06842
1768584489.14902,-3.67883,3.56964,-3.74699,3.40946,0.05959
1768584489.24850,-3.62227,3.46923,-3.81243,3.33384,0.06843
1768584489.35151,-3.70516,3.46361,-3.87634,3.25693,0.18477
1768584489.45107,-3.75040,3.39214,-3.93870,3.17876,0.15917
1768584489.55269,-3.79806,3.25332,-3.99948,3.09936,0.05409
1768584489.64911,-3.89799,3.21438,-4.05866,3.01875,0.09576
1768584489.75611,-3.91330,3.14111,-4.11622,2.93698,0.13649
1768584489.85128,-4.00075,3.00976,-4.17213,2.85407,0.09255
1768584489.95054,-4.09287,2.90186,-4.22638,2.77007,0.07085
1768584490.05044,-4.22421,2.80603,-4.27893,2.68499,0.07904
1768584490.15020,-4.19991,2.68359,-4.32977,2.59888,0.14534
