# num_particles=5000
time,x_est,y_est,x_gt,y_gt,rmse
1768520773.99237,2.46841,4.41083,2.18809,4.59628,0.14871
1768520774.08991,2.31080,4.51227,2.09774,4.63912,0.04181
1768520774.19486,2.18645,4.55450,2.00654,4.68015,0.02054
1768520774.29769,1.98628,4.68351,1.91454,4.71934,0.06133
1768520774.38922,1.97422,4.73347,1.82178,4.75668,0.01776
1768520774.48941,1.93195,4.71584,1.72829,4.79217,0.10233
1768520774.63294,1.82050,4.74781,1.53927,4.85749,0.16618
1768520774.68502,1.78458,4.75526,1.53927,4.85749,0.21070
1768520774.79365,1.73159,4.77142,1.44382,4.88730,0.09450
1768520774.88749,1.61862,4.80616,1.34779,4.91519,0.14511
1768520774.98661,1.57209,4.81945,1.25122,4.94117,0.13268
1768520775.09980,1.46916,4.86160,1.15416,4.96520,0.04776
1768520775.18588,1.29396,4.91984,1.05663,4.98729,0.14305
1768520775.28908,1.19711,4.96031,0.95868,5.00742,0.03425
1768520775.39226,0.99188,5.01583,0.86034,5.02559,0.03789
1768520775.48444,0.99510,5.01785,0.76167,5.04179,0.04680
1768520775.58616,0.90162,5.04765,0.66268,5.05602,0.06158
1768520775.68531,0.70902,5.09658,0.56344,5.06826,0.15250
1768520775.78641,0.71583,5.07397,0.46397,5.07851,0.19005
1768520775.88787,0.65368,5.08985,0.36431,5.08678,0.09003
1768520775.99221,0.45403,5.09424,0.26451,5.09304,0.10948
1768520776.10310,0.36858,5.05908,0.16460,5.09732,0.11862
1768520776.19230,0.28120,5.07555,0.06463,5.09959,0.01832
1768520776.29526,0.08063,5.09068,-0.03537,5.09986,0.05435
1768520776.39203,-0.06864,5.14284,-0.13535,5.09813,0.04006
1768520776.48994,-0.07169,5.11675,-0.23528,5.09441,0.14103
1768520776.59838,-0.09433,5.09908,-0.33512,5.08868,0.20328
1768520776.69065,-0.13185,5.08689,-0.43482,5.08096,0.12821
1768520776.78942,-0.30826,5.06045,-0.53434,5.07125,0.12380
1768520776.89004,-0.41229,5.05053,-0.63365,5.05955,0.04840
1768520776.99064,-0.49514,5.04286,-0.73271,5.04587,0.12242
1768520777.08991,-0.61035,5.04213,-0.83147,5.03020,0.07900
1768520777.18632,-0.65371,5.04493,-0.92991,5.01257,0.04065
1768520777.29070,-0.79178,5.02141,-1.02796,4.99297,0.03436
1768520777.39373,-0.95851,4.99352,-1.12561,4.97141,0.05686
1768520777.49368,-0.97211,5.00360,-1.22281,4.94791,0.16810
1768520777.59252,-1.06578,5.00791,-1.31952,4.92247,0.17013
1768520777.69145,-1.15863,4.97778,-1.41569,4.89509,0.10999
1768520777.78711,-1.31586,4.94124,-1.51131,4.86580,0.05718
1768520777.89123,-1.36590,4.92320,-1.60631,4.83460,0.04443
1768520777.99108,-1.63538,4.80099,-1.70068,4.80151,0.05081
1768520778.10774,-1.65060,4.79292,-1.79436,4.76654,0.07928
1768520778.19014,-1.71567,4.77612,-1.88733,4.72970,0.07342
1768520778.38658,-1.72140,4.75831,-1.97954,4.69101,0.12837
1768520778.48743,-1.85248,4.70931,-2.07096,4.65049,0.02100
1768520778.59192,-1.96178,4.67981,-2.16155,4.60814,0.08051
1768520778.69415,-2.14247,4.61350,-2.25127,4.56399,0.09854
1768520778.78715,-2.16133,4.60424,-2.34009,4.51806,0.02690
1768520778.88947,-2.27368,4.54911,-2.42798,4.47035,0.07036
1768520778.98620,-2.37080,4.51135,-2.51490,4.42090,0.09017
1768520779.08639,-2.43716,4.46660,-2.60081,4.36972,0.02708
1768520779.18578,-2.54144,4.42623,-2.68567,4.31684,0.02302
1768520779.29829,-2.62251,4.36205,-2.76947,4.26226,0.11156
1768520779.38719,-2.75242,4.22745,-2.85215,4.20603,0.00965
1768520779.49063,-2.77007,4.25263,-2.93370,4.14815,0.07797
1768520779.59001,-2.85849,4.16870,-3.01407,4.08865,0.04888
1768520779.69504,-2.98653,4.04826,-3.09323,4.02755,0.12966
