# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584009.84970,-4.94280,0.09947,-4.99406,-0.12212,0.12238
1768584009.94946,-5.05764,-0.12877,-4.98862,-0.22197,0.06925
1768584010.04755,-5.06222,-0.13438,-4.98119,-0.32170,0.03550
1768584010.15705,-5.02055,-0.23750,-4.97176,-0.42125,0.17242
1768584010.25791,-5.02596,-0.48820,-4.96034,-0.52059,0.04058
1768584010.35151,-5.00171,-0.39388,-4.94693,-0.61969,0.08387
1768584010.46491,-5.00408,-0.44903,-4.93155,-0.71850,0.14419
1768584010.57205,-4.92929,-0.57432,-4.91420,-0.81698,0.18548
1768584010.65270,-4.90645,-0.63166,-4.89488,-0.91509,0.08573
1768584010.76051,-4.90097,-0.73227,-4.87360,-1.01280,0.11878
1768584010.86437,-4.93993,-0.91427,-4.85037,-1.11006,0.13945
1768584010.95194,-4.88343,-0.97458,-4.82520,-1.20684,0.09550
1768584011.05212,-4.90896,-1.03464,-4.79810,-1.30310,0.08641
1768584011.15198,-4.89503,-1.15595,-4.76908,-1.39879,0.04213
1768584011.25504,-4.83950,-1.31087,-4.73815,-1.49389,0.02716
1768584011.34960,-4.77465,-1.37221,-4.70533,-1.58835,0.06023
1768584011.44946,-4.76145,-1.43834,-4.67062,-1.68213,0.03955
1768584011.55403,-4.73191,-1.55905,-4.63405,-1.77520,0.16695
1768584011.65046,-4.69806,-1.62100,-4.59562,-1.86752,0.07403
1768584011.75529,-4.56834,-1.80930,-4.55535,-1.95905,0.14983
1768584011.85133,-4.61021,-1.81963,-4.51326,-2.04976,0.15008
1768584011.95364,-4.59002,-1.92079,-4.46937,-2.13961,0.13295
1768584012.05077,-4.56121,-2.04348,-4.42368,-2.22856,0.00405
1768584012.15311,-4.47197,-2.14271,-4.37623,-2.31658,0.07756
1768584012.25140,-4.39436,-2.24117,-4.32703,-2.40364,0.07414
1768584012.35028,-4.38152,-2.24263,-4.27609,-2.48969,0.03762
1768584012.45015,-4.35826,-2.38268,-4.22345,-2.57471,0.04319
1768584012.55147,-4.31927,-2.48892,-4.16911,-2.65866,0.04452
1768584012.65372,-4.23952,-2.61623,-4.11311,-2.74151,0.06130
1768584012.74859,-4.16654,-2.71145,-4.05546,-2.82321,0.12854
1768584012.85165,-4.16054,-2.74918,-3.99619,-2.90375,0.19076
1768584012.94852,-4.14550,-2.78503,-3.93532,-2.98309,0.07290
1768584013.05282,-3.98916,-2.97632,-3.87287,-3.06120,0.04184
1768584013.14787,-3.97574,-2.97226,-3.80888,-3.13804,0.03010
1768584013.24851,-3.90277,-3.05771,-3.74336,-3.21358,0.05624
1768584013.34854,-3.82957,-3.19033,-3.67634,-3.28780,0.05701
1768584013.44734,-3.73675,-3.27021,-3.60786,-3.36066,0.07014
1768584013.55296,-3.66447,-3.35693,-3.53793,-3.43214,0.06145
1768584013.64953,-3.66290,-3.33334,-3.46658,-3.50221,0.03191
1768584013.75735,-3.53829,-3.46405,-3.39385,-3.57084,0.11534
1768584013.84966,-3.39201,-3.59020,-3.31976,-3.63800,0.07208
1768584013.95339,-3.45884,-3.53967,-3.24434,-3.70366,0.06633
1768584014.05001,-3.37886,-3.60789,-3.16762,-3.76780,0.10086
1768584014.15398,-3.23091,-3.60370,-3.08964,-3.83040,0.12451
1768584014.25094,-3.12779,-3.71187,-3.01042,-3.89142,0.16574
1768584014.35079,-3.08891,-3.74544,-2.92999,-3.95084,0.02924
1768584014.44803,-2.99613,-3.86591,-2.84839,-4.00865,0.08964
1768584014.54987,-2.92854,-3.86121,-2.76566,-4.06481,0.00467
1768584014.65501,-2.84391,-4.00997,-2.68181,-4.11931,0.17233
1768584014.75810,-2.83386,-4.03821,-2.59690,-4.17212,0.01985
1768584014.85038,-2.61623,-4.17657,-2.51094,-4.22322,0.04335
1768584014.94975,-2.58948,-4.12941,-2.42398,-4.27259,0.04284
1768584015.05448,-2.47797,-4.19585,-2.33605,-4.32021,0.08821
1768584015.15349,-2.50847,-4.29793,-2.24718,-4.36606,0.21135
1768584015.25185,-2.44475,-4.29098,-2.15742,-4.41013,0.07445
1768584015.35531,-2.29099,-4.30587,-2.06679,-4.45240,0.11595
1768584015.44977,-2.17708,-4.41662,-1.97533,-4.49284,0.06499
1768584015.55138,-2.01661,-4.49370,-1.88309,-4.53144,0.04805
1768584015.66047,-1.92756,-4.49801,-1.79009,-4.56820,0.05883
1768584015.74843,-1.81962,-4.51731,-1.69637,-4.60308,0.16863
